C,gamma,epsilon,validation_loss,mee
64.0,0.096,0.01,1.3010399339562533,1.188047600642259
100.0,0.077,0.01,1.2926883963092328,1.1882323444240515
28.0,0.046,0.01,1.294342961589585,1.1890784214540038
46.0,0.042,0.01,1.2927644022293523,1.1892129156132683
73.0,0.091,0.01,1.3013234935529516,1.1894678941975974
10.0,0.06,0.01,1.2929934623148116,1.1895063016292167
91.0,0.082,0.01,1.2974630034941852,1.189735233664272
41.5,0.042,0.01,1.294468619868602,1.1902054716406651
82.0,0.087,0.01,1.302345832628471,1.1907031923457798
68.5,0.096,0.01,1.3087873260274636,1.190747550441352
64.0,0.1,0.01,1.3112272831067602,1.1908115382178814
77.5,0.091,0.01,1.3087109678484643,1.1920190697537447
95.5,0.082,0.01,1.303029401003053,1.1920549209858111
37.0,0.042,0.01,1.2974418522576543,1.1922304501906038
100.0,0.037,0.01,1.2962792940941341,1.192314593989781
91.0,0.037,0.01,1.295384159385423,1.1925103013987062
95.5,0.037,0.01,1.2962466746592227,1.1925780045261942
86.5,0.037,0.01,1.2951242938538903,1.1927108652014482
23.5,0.046,0.01,1.2972549347865074,1.1929816423576522
68.5,0.1,0.01,1.318091580430246,1.1931241950141236
86.5,0.087,0.01,1.3087901468694332,1.1931303840491412
82.0,0.037,0.01,1.2955314782424814,1.1931317918592241
73.0,0.096,0.01,1.3153586368307428,1.193184200247089
77.5,0.037,0.01,1.2961221474061495,1.1935453857837677
73.0,0.037,0.01,1.2961211325853146,1.1936567161644211
14.5,0.051,0.01,1.297320970653839,1.194013270029559
68.5,0.037,0.01,1.2972965651488013,1.1941938596850195
82.0,0.091,0.01,1.3154063149290838,1.1944403204387464
100.0,0.082,0.01,1.309066443732693,1.1945231826541804
32.5,0.042,0.01,1.2999728991588313,1.194800167176019
64.0,0.037,0.01,1.2990095315403103,1.1950423461811783
77.5,0.096,0.01,1.321550753373242,1.1952471892866872
91.0,0.087,0.01,1.3148044556859608,1.1953022425115076
73.0,0.1,0.01,1.3249571157580808,1.1956299515399587
59.5,0.037,0.01,1.3011896238478262,1.1963248557271298
86.5,0.091,0.01,1.3209568030583712,1.1964363030231802
95.5,0.087,0.01,1.3204201209353317,1.197404253022256
82.0,0.096,0.01,1.3276740111509695,1.1974419299089565
19.0,0.046,0.01,1.2997117233511235,1.197480075627745
10.0,0.055,0.01,1.3008085936143516,1.1975780613302984
55.0,0.037,0.01,1.3035766129180184,1.1977257767673235
28.0,0.042,0.01,1.3026972284184475,1.1981439849267221
77.5,0.1,0.01,1.3322408728006745,1.198210110204485
91.0,0.091,0.01,1.3264304247068601,1.1982841691782968
50.5,0.037,0.01,1.305745612904328,1.1991717423906076
100.0,0.087,0.01,1.325665376606016,1.1993055087570779
100.0,0.033,0.01,1.3035227503834093,1.1998138575361015
86.5,0.096,0.01,1.334510354458472,1.199897502901567
95.5,0.033,0.01,1.3039322515955964,1.1999807144857138
95.5,0.091,0.01,1.3318600899964896,1.2001629497868973
91.0,0.033,0.01,1.3043162473463668,1.200227232396516
46.0,0.037,0.01,1.3073425442253375,1.2008242842205312
86.5,0.033,0.01,1.3056067756966634,1.200859538822799
82.0,0.1,0.01,1.3399701994429698,1.2009287806063573
82.0,0.033,0.01,1.3072282417208663,1.2015829315525077
100.0,0.091,0.01,1.3382110399539102,1.2024051737298649
23.5,0.042,0.01,1.3051692393694077,1.2024682179069974
91.0,0.096,0.01,1.3420189931601452,1.2025712101068808
41.5,0.037,0.01,1.3093197123810996,1.2027584894357457
77.5,0.033,0.01,1.3091556924663437,1.2027795356369921
86.5,0.1,0.01,1.3473722986972185,1.2035160764146633
73.0,0.033,0.01,1.311063384126366,1.2040075027021837
95.5,0.096,0.01,1.3488437954953358,1.2049692867420378
68.5,0.033,0.01,1.3131169058366992,1.2054037780670472
37.0,0.037,0.01,1.312056929969879,1.2058208760975584
91.0,0.1,0.01,1.3549977729355092,1.2062855863963127
10.0,0.051,0.01,1.3101360606484975,1.2064152534398398
14.5,0.046,0.01,1.3093786348054584,1.206512863358747
64.0,0.033,0.01,1.3150338062682858,1.2067174785110992
100.0,0.096,0.01,1.3555621371662996,1.2074007398634883
59.5,0.033,0.01,1.3164008332819905,1.2079657484768371
95.5,0.1,0.01,1.3627917119198556,1.2091112739076573
19.0,0.042,0.01,1.3121943383303554,1.2094711977700026
32.5,0.037,0.01,1.31529155047845,1.2098466079357273
55.0,0.033,0.01,1.3185534516036888,1.2098937210770717
100.0,0.1,0.01,1.370803637706959,1.2119873719550764
50.5,0.033,0.01,1.3208598317545177,1.2125637502418967
28.0,0.037,0.01,1.3188079006910098,1.2133346051439362
46.0,0.033,0.01,1.3232232740820926,1.2156133500986843
10.0,0.046,0.01,1.3232058330507368,1.2161382646570271
100.0,0.028,0.01,1.3280032881737445,1.2168113206937126
14.5,0.042,0.01,1.3208796115282848,1.2168206859806638
41.5,0.033,0.01,1.3245049201800652,1.217229732650212
95.5,0.028,0.01,1.3294358833731577,1.217733385485126
91.0,0.028,0.01,1.3302845069676363,1.2185852334653804
86.5,0.028,0.01,1.3304102336219097,1.2192345446797095
23.5,0.037,0.01,1.3253882991858132,1.2195510757437844
37.0,0.033,0.01,1.326591881129944,1.219707250853885
82.0,0.028,0.01,1.3314148574793325,1.2204925087457477
77.5,0.028,0.01,1.3328029481633894,1.2223215179855647
73.0,0.028,0.01,1.3342997994587866,1.2241398394103047
19.0,0.037,0.01,1.3314992204017149,1.2244548968413096
32.5,0.033,0.01,1.3320295226279295,1.224704993474721
68.5,0.028,0.01,1.3351501748680692,1.2250040435812135
10.0,0.042,0.01,1.3389821948230185,1.2261202081310747
64.0,0.028,0.01,1.336625330314471,1.2265045962703955
59.5,0.028,0.01,1.337817924318052,1.22799540310271
28.0,0.033,0.01,1.3372250052545804,1.2286279971704808
55.0,0.028,0.01,1.3407491876280246,1.230481178864314
14.5,0.037,0.01,1.3461034660589457,1.2325385594127636
50.5,0.028,0.01,1.3440139676358644,1.233240234132798
100.0,0.024,0.01,1.345922391670023,1.2339228401441729
23.5,0.033,0.01,1.3459734757620334,1.2340325643615586
95.5,0.024,0.01,1.3471950128982788,1.235258764588752
46.0,0.028,0.01,1.3470290841447417,1.235495160049912
91.0,0.024,0.01,1.3485466619617328,1.23651930790096
86.5,0.024,0.01,1.3504529960567868,1.2380438508003886
41.5,0.028,0.01,1.3515633893108545,1.2383545324444463
82.0,0.024,0.01,1.3527248629447608,1.2397906745854812
19.0,0.033,0.01,1.3565494608877098,1.2398178297776248
37.0,0.028,0.01,1.3564920933592968,1.2413714986789912
10.0,0.037,0.01,1.3657157462339407,1.2413715083528951
77.5,0.024,0.01,1.3553299276289574,1.2415326456899847
73.0,0.024,0.01,1.35743933278241,1.2430017732644296
68.5,0.024,0.01,1.3591248519035544,1.2441119009574302
32.5,0.028,0.01,1.3628116551392098,1.2450188408678375
64.0,0.024,0.01,1.3611381903688233,1.2456769637125589
14.5,0.033,0.01,1.3701581569079564,1.2459934236690204
59.5,0.024,0.01,1.3636298130730158,1.2475265863679181
28.0,0.028,0.01,1.3707097250633802,1.2488609956840828
55.0,0.024,0.01,1.3667048717137802,1.2497478441342407
50.5,0.024,0.01,1.3711795833139764,1.2524246724939776
23.5,0.028,0.01,1.378828430541056,1.2528256900989831
46.0,0.024,0.01,1.3769549479023326,1.2551920369624536
10.0,0.033,0.01,1.392333634497012,1.2556388153024007
41.5,0.024,0.01,1.3815635546278413,1.2571540934601788
19.0,0.028,0.01,1.3906230722108062,1.2584627605153957
37.0,0.024,0.01,1.3870715582923332,1.2589333934305569
32.5,0.024,0.01,1.394181580605214,1.2624651853372288
100.0,0.019,0.01,1.3851069188696892,1.2633973585606615
95.5,0.019,0.01,1.3865228533865308,1.264177774637811
91.0,0.019,0.01,1.387927671636873,1.2648540816132685
14.5,0.028,0.01,1.4071762394932976,1.265413000880442
86.5,0.019,0.01,1.3895059147677078,1.2655248891240687
82.0,0.019,0.01,1.3912621135364491,1.2663153243326324
28.0,0.024,0.01,1.4026860201632896,1.2669895326894796
77.5,0.019,0.01,1.3931220199918122,1.2671721180873368
73.0,0.019,0.01,1.3959466683348367,1.2680845528378577
68.5,0.019,0.01,1.4000800954723185,1.269669009430959
64.0,0.019,0.01,1.4053173487525785,1.2718139769297168
23.5,0.024,0.01,1.4137864650803402,1.2721367085941686
59.5,0.019,0.01,1.410382399040537,1.273947498035789
10.0,0.028,0.01,1.4304781819530379,1.2757944950616815
55.0,0.019,0.01,1.4146825045451223,1.2758762569133069
50.5,0.019,0.01,1.4184907026801266,1.2772079691042257
19.0,0.024,0.01,1.42723761100871,1.2776158372358055
46.0,0.019,0.01,1.4241544208212835,1.2794133242434138
14.5,0.024,0.01,1.4425855987562455,1.2829841078421298
41.5,0.019,0.01,1.433355892370992,1.283576397638738
100.0,0.015,0.01,1.4328113900769104,1.2861946453592472
37.0,0.019,0.01,1.4427656849920905,1.287509138660524
95.5,0.015,0.01,1.4361269774075665,1.2875383381535754
91.0,0.015,0.01,1.4389650519803527,1.2886172264160878
86.5,0.015,0.01,1.4421373300485687,1.2898410171816912
32.5,0.019,0.01,1.4506010192695358,1.2905652940932275
82.0,0.015,0.01,1.444897135655664,1.291076600364208
77.5,0.015,0.01,1.4485857086438658,1.2924990339841833
73.0,0.015,0.01,1.4525165643127196,1.2940544140427592
28.0,0.019,0.01,1.4596751076636643,1.2941698319029322
68.5,0.015,0.01,1.4556685029088965,1.2952742238356103
10.0,0.024,0.01,1.4714912143525927,1.2962632595951256
64.0,0.015,0.01,1.4592781956790621,1.2967233335062418
23.5,0.019,0.01,1.4736598006423205,1.2993424899390482
59.5,0.015,0.01,1.4658946313821428,1.2996789041796772
55.0,0.015,0.01,1.473848831278952,1.3032979535658864
19.0,0.019,0.01,1.489926593099337,1.3048138500839568
50.5,0.015,0.01,1.4804144410825586,1.3060964278345086
46.0,0.015,0.01,1.4874288913302518,1.3087679731199553
41.5,0.015,0.01,1.4956939749987304,1.311509992005592
37.0,0.015,0.01,1.5043065103142004,1.3142235234906208
14.5,0.019,0.01,1.5105546714928735,1.316652748891167
32.5,0.015,0.01,1.515397525965259,1.3194826659990069
28.0,0.015,0.01,1.5264117033868552,1.325423649319597
23.5,0.015,0.01,1.5382169975030797,1.3311974127555137
100.0,0.01,0.01,1.5469348740747861,1.33425152831351
