C,gamma,epsilon,validation_loss,mee
73.0,0.042,0.01,1.3732920759035627,1.2315474889781994
95.5,0.096,0.01,1.3718860819662306,1.2315923304326015
68.5,0.042,0.01,1.3753373580795492,1.2320739775317069
32.5,0.046,0.01,1.3753175788047884,1.2322600580437735
64.0,0.042,0.01,1.3774660086258075,1.2330873361378836
28.0,0.046,0.01,1.3774746456635472,1.2337239130369164
59.5,0.042,0.01,1.3788161480156693,1.2337512426933623
14.5,0.051,0.01,1.3731994843899096,1.2340872466922324
91.0,0.1,0.01,1.3770942069130316,1.2341071276378324
100.0,0.096,0.01,1.377254796485379,1.2346066679872074
10.0,0.055,0.01,1.3704764352097918,1.2348306358475356
55.0,0.042,0.01,1.3799076145006524,1.2348551468072435
50.5,0.042,0.01,1.3812610746231782,1.2361903218202217
23.5,0.046,0.01,1.3781936853164298,1.2362056880729282
95.5,0.1,0.01,1.3832178223557179,1.2373217172856346
46.0,0.042,0.01,1.3819899398235012,1.237343137784522
41.5,0.042,0.01,1.383025400334073,1.2380913451231377
19.0,0.046,0.01,1.379907468844253,1.2394991716298494
37.0,0.042,0.01,1.3847967789921065,1.2397288438874876
100.0,0.1,0.01,1.389028331403312,1.2402939661249737
100.0,0.037,0.01,1.3861553662614388,1.2409606246436107
10.0,0.051,0.01,1.3772304183569024,1.2410653198688208
95.5,0.037,0.01,1.387156582508914,1.2415079411165224
32.5,0.042,0.01,1.3866620076018088,1.2417446058944799
91.0,0.037,0.01,1.3880175709529525,1.2418308678896974
86.5,0.037,0.01,1.3882890582355334,1.241880887188228
82.0,0.037,0.01,1.3887331378162155,1.2419031944990657
77.5,0.037,0.01,1.3897628122294103,1.2423967006910628
73.0,0.037,0.01,1.3912528674719393,1.2433422836314418
28.0,0.042,0.01,1.3868714729573965,1.2435362984078668
68.5,0.037,0.01,1.3926914480778105,1.2446250614303498
64.0,0.037,0.01,1.3935958281767333,1.2456264405195991
23.5,0.042,0.01,1.3876580256296012,1.2457839828314021
14.5,0.046,0.01,1.3863252475753984,1.2461318631390947
59.5,0.037,0.01,1.394608572552823,1.2464724073692521
55.0,0.037,0.01,1.394681725186032,1.2470350363853484
50.5,0.037,0.01,1.3957588269699774,1.2480432985729903
10.0,0.046,0.01,1.3858476967267783,1.249553664824163
46.0,0.037,0.01,1.3977696278910876,1.2499766407250443
19.0,0.042,0.01,1.3923288606394055,1.2507822113987184
100.0,0.033,0.01,1.4022966235208618,1.2512685150955893
41.5,0.037,0.01,1.3977276095599318,1.251323350362295
95.5,0.033,0.01,1.4033055859223098,1.2520576983985403
37.0,0.037,0.01,1.3973390702754835,1.2523027281810202
91.0,0.033,0.01,1.4037863167638218,1.2526197835085873
86.5,0.033,0.01,1.4042737581368903,1.2531676953597637
14.5,0.042,0.01,1.3935284333907008,1.2533959178506247
82.0,0.033,0.01,1.4051432158995092,1.2540624713559088
32.5,0.037,0.01,1.3987013386139526,1.2544055265424428
77.5,0.033,0.01,1.406280123336132,1.254804548969534
73.0,0.033,0.01,1.4068736792959953,1.2552958571810544
68.5,0.033,0.01,1.4078475023618862,1.256109113683875
28.0,0.037,0.01,1.400895460911877,1.2570766786456677
64.0,0.033,0.01,1.4085823722226212,1.257123339418369
10.0,0.042,0.01,1.3956588454126295,1.2576726487704981
