C,gamma,epsilon,validation_loss,mee
14.5,0.037,0.01,1.4343459741115179,1.273190560381667
28.0,0.033,0.01,1.4357118004735951,1.273506532157959
86.5,0.1,0.01,1.4852062359832332,1.2750290493910144
23.5,0.033,0.01,1.4388821478088727,1.2757960165399858
95.5,0.096,0.01,1.4864979836948036,1.276010860359719
19.0,0.033,0.01,1.4429554027605,1.2781530921755322
91.0,0.1,0.01,1.4929759171026336,1.2787520227043079
100.0,0.096,0.01,1.4936467475672726,1.279425902568862
10.0,0.037,0.01,1.4478813871800618,1.2796119455418509
82.0,0.028,0.01,1.4501345290185035,1.2817843075231241
77.5,0.028,0.01,1.4496335805421807,1.2818363129497727
73.0,0.028,0.01,1.449473062402043,1.2819119759591298
68.5,0.028,0.01,1.4492276892893716,1.2819517905515774
64.0,0.028,0.01,1.4486431656371996,1.2819520521323458
86.5,0.028,0.01,1.450879869835204,1.2820955478891434
95.5,0.1,0.01,1.500265930768738,1.2822883208858813
91.0,0.028,0.01,1.4513176536153287,1.2824430170984595
14.5,0.033,0.01,1.451962375728119,1.2824624198923655
59.5,0.028,0.01,1.4490514606338722,1.2825950079552904
46.0,0.028,0.01,1.4499889429925794,1.2826153316743225
50.5,0.028,0.01,1.4493548680017554,1.2826266139639624
100.0,0.028,0.01,1.4530703157991611,1.2829511853366882
95.5,0.028,0.01,1.4525808704439769,1.2829588169316335
41.5,0.028,0.01,1.4509086398620727,1.2831506861785522
55.0,0.028,0.01,1.449590779101561,1.2832190225952047
37.0,0.028,0.01,1.451928434157737,1.283895785534856
100.0,0.1,0.01,1.5068261588758478,1.2854843420987243
32.5,0.028,0.01,1.4552924831691643,1.2855502037616768
28.0,0.028,0.01,1.4595341659454204,1.2880101168914566
23.5,0.028,0.01,1.4634680138043332,1.2895057277845279
64.0,0.024,0.01,1.4646464569537878,1.2916674108970636
68.5,0.024,0.01,1.464113851645703,1.2917545607764545
59.5,0.024,0.01,1.465602291877749,1.2918370791366935
95.5,0.024,0.01,1.4625224446855791,1.2918906218704673
10.0,0.033,0.01,1.4715610619243866,1.2919757549324329
73.0,0.024,0.01,1.4639290210868734,1.2920324998893025
100.0,0.024,0.01,1.4628401452165958,1.2920412955274843
55.0,0.024,0.01,1.4668900783879582,1.2920585034345369
86.5,0.024,0.01,1.463035682982302,1.2922261666536423
91.0,0.024,0.01,1.4630627583802345,1.2922525560318476
82.0,0.024,0.01,1.4636914752784185,1.2923728428396233
77.5,0.024,0.01,1.4642332391807913,1.2924455741267558
50.5,0.024,0.01,1.4687421104525107,1.2927710756399804
19.0,0.028,0.01,1.4711070416544714,1.2929908209257908
46.0,0.024,0.01,1.4717145559671512,1.2945041811920217
41.5,0.024,0.01,1.472943188100785,1.2955734412395208
37.0,0.024,0.01,1.4747085302412988,1.296759620607506
32.5,0.024,0.01,1.4772044564889062,1.2976509691669338
14.5,0.028,0.01,1.4849096983215224,1.2996891412922942
28.0,0.024,0.01,1.4829190821342921,1.2997001154117134
23.5,0.024,0.01,1.4932295068224686,1.3042030520089234
100.0,0.019,0.01,1.4870781781784912,1.3048811434424612
95.5,0.019,0.01,1.4881566828852253,1.305574343555028
91.0,0.019,0.01,1.4890517266861776,1.306247953901018
86.5,0.019,0.01,1.4896873462031812,1.3066117437559126
82.0,0.019,0.01,1.4909440671008276,1.3071635354681481
77.5,0.019,0.01,1.4920834467880673,1.30784359712053
64.0,0.019,0.01,1.4926131847333712,1.3081790419716577
68.5,0.019,0.01,1.492860177498758,1.308550259537341
73.0,0.019,0.01,1.4929522677796605,1.3085670439101194
59.5,0.019,0.01,1.4938482788032323,1.3085806050524627
55.0,0.019,0.01,1.4965554967749348,1.3090357063928213
19.0,0.024,0.01,1.5047410340618919,1.3095646068965114
50.5,0.019,0.01,1.4996654225504253,1.3098990635412637
10.0,0.028,0.01,1.504609185067119,1.3102144124116215
46.0,0.019,0.01,1.503983857719615,1.3121491890188934
41.5,0.019,0.01,1.5098498408864414,1.314843881503475
14.5,0.024,0.01,1.518669207234331,1.3166461518891028
37.0,0.019,0.01,1.51814312035682,1.3183747882606753
100.0,0.015,0.01,1.5173412818144014,1.3219804239139488
95.5,0.015,0.01,1.5186740392106632,1.3223026605127643
32.5,0.019,0.01,1.5282989892912089,1.3223100179678005
91.0,0.015,0.01,1.5198774838674147,1.322580862579816
86.5,0.015,0.01,1.5218190032124794,1.323256192836517
82.0,0.015,0.01,1.5236101453927375,1.323912491663405
77.5,0.015,0.01,1.5256672149699302,1.324697280447222
28.0,0.019,0.01,1.5364325293626244,1.3255142000539384
73.0,0.015,0.01,1.528460512531274,1.3255304744208822
10.0,0.024,0.01,1.539292633219475,1.3262909840242632
68.5,0.015,0.01,1.532246537740898,1.3266768727786635
64.0,0.015,0.01,1.5370512446992939,1.3286538123373004
23.5,0.019,0.01,1.5467803446195834,1.3294026823634557
59.5,0.015,0.01,1.543045993858338,1.3311567337800276
19.0,0.019,0.01,1.556897699271624,1.3337059198391308
55.0,0.015,0.01,1.5508123310085775,1.334043851121953
50.5,0.015,0.01,1.5574728742133392,1.3364358123246411
46.0,0.015,0.01,1.5630871782904021,1.3381480796544103
41.5,0.015,0.01,1.5688634491788034,1.3403282517882487
14.5,0.019,0.01,1.5751332702342138,1.3425850949412548
37.0,0.015,0.01,1.575678971460533,1.3432991387344115
32.5,0.015,0.01,1.5824374755173543,1.3456447162562892
28.0,0.015,0.01,1.5901439242104662,1.349271033316128
23.5,0.015,0.01,1.6021562303733778,1.3556996899522709
10.0,0.019,0.01,1.6000663944194449,1.3578157380335671
19.0,0.015,0.01,1.615898305680401,1.3634331976681027
100.0,0.01,0.01,1.611662564533424,1.3638771267032366
95.5,0.01,0.01,1.6148270316136062,1.3650282758048884
91.0,0.01,0.01,1.6179656726807574,1.366148632706126
86.5,0.01,0.01,1.6209289484844895,1.3671590659514012
82.0,0.01,0.01,1.6237071817218702,1.3677926655307895
77.5,0.01,0.01,1.6270515272771935,1.3690243693094977
73.0,0.01,0.01,1.6310772510247193,1.3706293628497368
68.5,0.01,0.01,1.6347289731622052,1.372645497595282
64.0,0.01,0.01,1.6380021295582565,1.374213817221925
59.5,0.01,0.01,1.6414572766802868,1.375585224681301
55.0,0.01,0.01,1.644900071030955,1.3774257323966885
14.5,0.015,0.01,1.6409230233562249,1.3797591101520974
50.5,0.01,0.01,1.6489971045022287,1.379806791722864
46.0,0.01,0.01,1.6563996621599268,1.3842095779813892
41.5,0.01,0.01,1.6669177960674668,1.3913668756600555
10.0,0.015,0.01,1.672898650817274,1.398688418426392
37.0,0.01,0.01,1.6776423110517633,1.398932452553347
32.5,0.01,0.01,1.6897612207124946,1.4065226317767179
28.0,0.01,0.01,1.702224120057826,1.413304501259676
23.5,0.01,0.01,1.7165737057087407,1.4218169141145744
19.0,0.01,0.01,1.7427529571282059,1.43795574550164
14.5,0.01,0.01,1.7692478509972895,1.4568116290097308
10.0,0.01,0.01,1.8137803748107182,1.4883982231920199
