n_estimators,max_depth,min_samples_split,min_samples_leaf,bootstrap,random_state,min_impurity_decrease,validation_loss,mee
10,3,4,3,True,2,0.0,2.7653827595497176,1.8799526812731844
50,3,4,3,True,1,0.0,2.4523483980292937,1.8014533413129978
50,3,4,3,True,2,0.0,2.5377366590866153,1.820201288229292
100,3,4,3,True,1,0.0,2.4902381581569966,1.805369637546475
100,3,4,3,True,2,0.0,2.496546312889485,1.8129548226509185
1000,3,4,3,True,1,0.0,2.46053564830275,1.795370354390267
1000,3,4,3,True,2,0.0,2.422848413410961,1.7833730375449768
10,3,2,1,True,1,1.0,3.4806661432443393,2.163306732182293
10,3,2,1,True,2,1.0,3.706558872850854,2.2117691435490463
50,3,2,1,True,1,1.0,3.365243775239824,2.137055302383561
50,3,2,1,True,2,1.0,3.4890659855038324,2.1665218180329147
100,3,2,1,True,1,1.0,3.4618589542388096,2.15567479896302
100,3,2,1,True,2,1.0,3.426664747279439,2.1530647555753673
1000,3,2,1,True,1,1.0,3.3798261146989015,2.1372144541281397
1000,3,2,1,True,2,1.0,3.331813572807303,2.1213354370255204
10,3,3,1,True,1,1.0,3.4806661432443393,2.163306732182293
10,3,3,1,True,2,1.0,3.706558872850854,2.2117691435490463
50,3,3,1,True,1,1.0,3.365243775239824,2.137055302383561
50,3,3,1,True,2,1.0,3.4890659855038324,2.1665218180329147
100,3,3,1,True,1,1.0,3.4618589542388096,2.15567479896302
100,3,3,1,True,2,1.0,3.426664747279439,2.1530647555753673
1000,3,3,1,True,1,1.0,3.3798261146989015,2.1372144541281397
1000,3,3,1,True,2,1.0,3.331813572807303,2.1213354370255204
10,3,4,1,True,1,1.0,3.4806661432443393,2.163306732182293
10,3,4,1,True,2,1.0,3.706558872850854,2.2117691435490463
50,3,4,1,True,1,1.0,3.365243775239824,2.137055302383561
50,3,4,1,True,2,1.0,3.4890659855038324,2.1665218180329147
100,3,4,1,True,1,1.0,3.4618589542388096,2.15567479896302
100,3,4,1,True,2,1.0,3.426664747279439,2.1530647555753673
1000,3,4,1,True,1,1.0,3.3798261146989015,2.1372144541281397
1000,3,4,1,True,2,1.0,3.331813572807303,2.1213354370255204
10,3,2,2,True,1,1.0,3.4806661432443393,2.163306732182293
10,3,2,2,True,2,1.0,3.706558872850854,2.2117691435490463
50,3,2,2,True,1,1.0,3.365243775239824,2.137055302383561
50,3,2,2,True,2,1.0,3.4890659855038324,2.1665218180329147
100,3,2,2,True,1,1.0,3.4618589542388096,2.15567479896302
100,3,2,2,True,2,1.0,3.426664747279439,2.1530647555753673
1000,3,2,2,True,1,1.0,3.3798261146989015,2.1372144541281397
1000,3,2,2,True,2,1.0,3.331813572807303,2.1213354370255204
10,3,3,2,True,1,1.0,3.4806661432443393,2.163306732182293
10,3,3,2,True,2,1.0,3.706558872850854,2.2117691435490463
50,3,3,2,True,1,1.0,3.365243775239824,2.137055302383561
50,3,3,2,True,2,1.0,3.4890659855038324,2.1665218180329147
100,3,3,2,True,1,1.0,3.4618589542388096,2.15567479896302
100,3,3,2,True,2,1.0,3.426664747279439,2.1530647555753673
1000,3,3,2,True,1,1.0,3.3798261146989015,2.1372144541281397
1000,3,3,2,True,2,1.0,3.331813572807303,2.1213354370255204
10,3,4,2,True,1,1.0,3.4806661432443393,2.163306732182293
10,3,4,2,True,2,1.0,3.706558872850854,2.2117691435490463
50,3,4,2,True,1,1.0,3.365243775239824,2.137055302383561
50,3,4,2,True,2,1.0,3.4890659855038324,2.1665218180329147
100,3,4,2,True,1,1.0,3.4618589542388096,2.15567479896302
100,3,4,2,True,2,1.0,3.426664747279439,2.1530647555753673
1000,3,4,2,True,1,1.0,3.3798261146989015,2.1372144541281397
1000,3,4,2,True,2,1.0,3.331813572807303,2.1213354370255204
10,3,2,3,True,1,1.0,3.4806661432443393,2.163306732182293
10,3,2,3,True,2,1.0,3.706558872850854,2.2117691435490463
50,3,2,3,True,1,1.0,3.365243775239824,2.137055302383561
50,3,2,3,True,2,1.0,3.4890659855038324,2.1665218180329147
100,3,2,3,True,1,1.0,3.4618589542388096,2.15567479896302
100,3,2,3,True,2,1.0,3.426664747279439,2.1530647555753673
1000,3,2,3,True,1,1.0,3.3798261146989015,2.1372144541281397
1000,3,2,3,True,2,1.0,3.331813572807303,2.1213354370255204
10,3,3,3,True,1,1.0,3.4806661432443393,2.163306732182293
10,3,3,3,True,2,1.0,3.706558872850854,2.2117691435490463
50,3,3,3,True,1,1.0,3.365243775239824,2.137055302383561
50,3,3,3,True,2,1.0,3.4890659855038324,2.1665218180329147
100,3,3,3,True,1,1.0,3.4618589542388096,2.15567479896302
100,3,3,3,True,2,1.0,3.426664747279439,2.1530647555753673
1000,3,3,3,True,1,1.0,3.3798261146989015,2.1372144541281397
1000,3,3,3,True,2,1.0,3.331813572807303,2.1213354370255204
10,3,4,3,True,1,1.0,3.4806661432443393,2.163306732182293
10,3,4,3,True,2,1.0,3.706558872850854,2.2117691435490463
50,3,4,3,True,1,1.0,3.365243775239824,2.137055302383561
50,3,4,3,True,2,1.0,3.4890659855038324,2.1665218180329147
100,3,4,3,True,1,1.0,3.4618589542388096,2.15567479896302
100,3,4,3,True,2,1.0,3.426664747279439,2.1530647555753673
1000,3,4,3,True,1,1.0,3.3798261146989015,2.1372144541281397
1000,3,4,3,True,2,1.0,3.331813572807303,2.1213354370255204
10,4,2,1,True,1,0.0,1.8890177097451357,1.500797281357013
10,4,2,1,True,2,0.0,1.8833792512038774,1.4727803467263751
50,4,2,1,True,1,0.0,1.743243042877644,1.4380377396922657
